i,j,PSR,parameters,parm
1,1,1.1274,Grand Mean,1
1,2,1.0057,age,2
1,3,1.0149,audit_c,3
1,4,1.0323,count_lf,4
1,5,1.0057,ptsd,5
1,6,1.0263,anxietyr,6
1,7,1.0082999,sadr,7
1,8,1.0266,intfsocr,8
1,9,1.0012,energr,9
1,10,1.0215,anxiety_ra,10
1,11,1.0123,srMentH,11
1,12,1.0393,srPhysH,12
1,13,1.0112,srLivSit,13
1,14,1.0154999,srDrugFree,14
1,15,1.0135,srSocNet,15
1,16,1.0414,srSexRx,16
1,17,1.0137,ssHelp,17
1,18,1.0575,ssEmoHelp,18
1,19,1.001,ssNewFri,19
1,20,1.0253,smAppFreq,20
1,21,1.0086,datingAppF,21
1,22,1.0314,losAng,22
1,23,1.0477,RaceEthnic#2,23
1,24,1.0303,RaceEthnic#3,24
1,25,1.0104001,RaceEthnic#4,25
1,26,1.0481,female,26
1,27,1.0088,cis,27
1,28,1.063,heterosexu,28
1,29,1.1959,employed,29
1,30,1.1407,poverty,30
1,31,1.0664001,insured,31
1,32,1.0594,healthProv,32
1,33,1.0191,medicalUti,33
1,34,1.0469,erCare_re,34
1,35,1.0426,sapro_lf,35
1,36,1.0199,hivpp_lf,36
1,37,1.0243,homeless_l,37
1,38,1.0417,incarcerat,38
1,39,1.0482,ipv_lf,39
1,40,1.0941,sexex_lf,40
1,41,1.082,suicide_lf,41
1,42,1.0661,hospitalmh,42
1,43,1.0451,sexab_lf,43
1,44,1.018,tmx5old_lf,44
1,45,1.0082999,tmrob_lf,45
1,46,1.0186,tmotinj_lf,46
1,47,1.0513,tmotmdr_lf,47
1,48,1.0246,xdrug_r,48
1,49,1.0142,smoke_lf,49
1,50,1.0279, Residual Var. ,50
1,51,1.0186, Grand Mean,51
1,52,1.0318,depression,52
1,53,1.0325,age,53
1,54,1.0046,count_lf,54
1,55,1.0161999,ptsd,55
1,56,1.0065,anxietyr,56
1,57,1.0113,sadr,57
1,58,1.0255001,intfsocr,58
1,59,1.0077,energr,59
1,60,1.0122,anxiety_ra,60
1,61,1.0022,srMentH,61
1,62,1.0010999,srPhysH,62
1,63,1.0089999,srLivSit,63
1,64,1.0274,srDrugFree,64
1,65,1.0056,srSocNet,65
1,66,1.0125,srSexRx,66
1,67,1.0128,ssHelp,67
1,68,1.0096999,ssEmoHelp,68
1,69,1.0042,ssNewFri,69
1,70,1.0211999,smAppFreq,70
1,71,1.0038,datingAppF,71
1,72,1.0166,losAng,72
1,73,1.011,RaceEthnic#2,73
1,74,1.0153,RaceEthnic#3,74
1,75,1.021,RaceEthnic#4,75
1,76,1.0017,female,76
1,77,1.0158,cis,77
1,78,1.0141,heterosexu,78
1,79,1.1328,employed,79
1,80,1.1236,poverty,80
1,81,1.0479,insured,81
1,82,1.0091,healthProv,82
1,83,1.0137,medicalUti,83
1,84,1.0202,erCare_re,84
1,85,1.0154999,sapro_lf,85
1,86,1.0015,hivpp_lf,86
1,87,1.0144,homeless_l,87
1,88,1.0529,incarcerat,88
1,89,1.0386,ipv_lf,89
1,90,1.021,sexex_lf,90
1,91,1.0233999,suicide_lf,91
1,92,1.015,hospitalmh,92
1,93,1.0036,sexab_lf,93
1,94,1.0123,tmx5old_lf,94
1,95,1.0737,tmrob_lf,95
1,96,1.0053999,tmotinj_lf,96
1,97,1.0072,tmotmdr_lf,97
1,98,1.0285,xdrug_r,98
1,99,1.0312001,smoke_lf,99
1,100,1.0025001, Residual Var. ,100
1,101,1.0481, Grand Mean,101
1,102,1.0024,depression,102
1,103,1.0361,age,103
1,104,1.0027,audit_c,104
1,105,1.0251,ptsd,105
1,106,1.0497,anxietyr,106
1,107,1.0188,sadr,107
1,108,1.0117,intfsocr,108
1,109,1.0185,energr,109
1,110,1.0105,anxiety_ra,110
1,111,1.0044,srMentH,111
1,112,1.0035,srPhysH,112
1,113,1.0161999,srLivSit,113
1,114,1.0336,srDrugFree,114
1,115,1.0005,srSocNet,115
1,116,1.0484,srSexRx,116
1,117,1.0256,ssHelp,117
1,118,1.0351,ssEmoHelp,118
1,119,1.0264,ssNewFri,119
1,120,1.0136,smAppFreq,120
1,121,1.0451,datingAppF,121
1,122,1.0082,losAng,122
1,123,1.0194,RaceEthnic#2,123
1,124,1.0362,RaceEthnic#3,124
1,125,1.034,RaceEthnic#4,125
1,126,1.0075999,female,126
1,127,1.0222,cis,127
1,128,1.0071,heterosexu,128
1,129,1.1059999,employed,129
